Date	SeaLevel(mm)
2004.632	4.9
2004.659	6.1
2004.686	8.6
2004.713	12.5
2004.740	9.4
2004.767	10.5
2004.794	12.1
2004.821	10.6
2004.848	10.7
2004.875	10.7
2004.902	5.2
2004.930	7.0
2004.957	7.4
2004.984	12.4
2005.011	5.8
2005.038	4.1
2005.065	5.9
2005.092	4.0
2005.120	5.2
2005.147	4.2
2005.174	7.8
2005.201	6.4
2005.228	0.4
2005.255	0.9
2005.282	5.1
2005.310	1.9
2005.337	3.5
2005.364	3.1
2005.391	2.1
2005.418	2.9
2005.446	3.8
2005.473	4.4
2005.500	3.7
2005.527	7.0
2005.554	3.8
2005.582	6.8
2005.609	5.4
2005.636	7.6
2005.663	10.7
2005.690	12.5
2005.712	12.7
2005.749	14.4
2005.772	15.8
2005.799	14.1
2005.826	14.6
2005.853	17.2
2005.880	16.0
2005.908	14.4
2005.935	13.5
2005.962	13.4
2005.989	12.6
2006.016	9.0
2006.043	4.5
2006.070	6.0
2006.098	6.1
2006.125	4.6
2006.152	4.3
2006.179	5.6
2006.206	0.6
2006.233	4.0
2006.261	2.7
2006.288	1.7
2006.315	1.2
2006.342	2.1
2006.369	5.6
2006.396	5.9
2006.424	5.0
2006.451	5.1
2006.478	4.7
2006.505	6.9
2006.532	8.0
2006.559	7.7
2006.587	7.2
2006.614	5.8
2006.641	10.8
2006.668	14.9
2006.695	15.5
2006.722	17.5
2006.750	17.0
2006.777	18.0
2006.804	18.2
2006.823	17.3
2006.889	15.6
2006.913	13.5
2006.939	16.8
2006.967	14.1
2006.994	12.2
2007.021	8.2
2007.048	5.1
2007.076	7.6
2007.103	6.6
2007.130	5.9
2007.157	7.6
2007.184	4.6
2007.211	5.7
2007.239	5.6
2007.265	8.4
2007.293	8.3
2007.320	6.7
2007.347	1.0
2007.374	5.7
2007.402	7.1
2007.429	5.9
2007.456	2.7
2007.483	2.9
2007.510	3.9
2007.537	3.5
2007.565	3.8
2007.592	6.2
2007.619	11.4
2007.646	9.7
2007.673	9.0
2007.700	10.9
2007.728	16.6
2007.755	16.4
2007.782	15.3
2007.809	15.9
2007.836	13.2
2007.863	16.4
2007.891	20.0
2007.918	18.5
2007.945	15.2
2007.972	9.1
2007.999	9.5
2008.026	10.5
2008.053	12.3
2008.080	11.1
2008.108	8.1
2008.135	9.1
2008.162	5.6
2008.189	8.3
2008.216	8.7
2008.243	6.8
2008.270	5.9
2008.297	6.7
2008.324	6.2
2008.345	6.0
2008.379	11.7
2008.406	12.5
2008.433	10.4
2008.460	9.3
2008.487	10.9
2008.514	12.4
2008.541	11.4
2008.568	11.5
2008.595	11.2
2008.622	14.7
2008.649	14.5
2008.677	15.9
2008.704	15.3
2008.731	18.5
2008.758	19.3
2008.785	20.3
2008.812	20.8
2008.839	18.6
2008.866	19.5
2008.893	17.9
2008.920	21.0
2008.947	16.0
2008.975	13.8
2009.002	14.8
2009.029	15.0
2009.056	14.8
2009.083	12.4
2009.110	10.0
2009.137	11.5
2009.165	12.6
2009.192	12.6
2009.219	12.8
2009.246	12.7
2009.273	12.6
2009.300	13.0
2009.328	12.4
2009.355	11.3
2009.382	10.6
2009.409	10.0
2009.436	11.5
2009.463	12.4
2009.491	11.3
2009.518	10.4
2009.545	13.7
2009.572	18.5
2009.599	16.7
2009.626	18.5
2009.654	20.4
2009.681	23.0
2009.708	26.1
2009.735	26.0
2009.762	25.9
2009.789	26.5
2009.817	27.9
2009.844	28.3
2009.871	23.7
2009.898	25.0
2009.925	22.0
2009.952	19.7
2009.980	23.6
2010.007	19.8
2010.034	19.0
2010.061	17.1
2010.088	13.0
2010.115	16.6
2010.143	19.0
2010.170	22.1
2010.197	15.3
2010.224	15.2
2010.251	14.7
2010.278	17.2
2010.306	16.9
2010.333	13.8
2010.360	14.3
2010.387	17.7
2010.414	17.3
2010.441	18.0
2010.469	18.7
2010.496	18.8
2010.523	18.2
2010.550	20.1
2010.577	18.7
2010.604	18.5
2010.632	20.2
2010.659	17.4
2010.686	20.2
2010.713	21.0
2010.740	20.9
2010.767	21.8
2010.795	24.6
2010.822	22.9
2010.849	21.3
2010.876	21.5
2010.903	17.3
2010.930	17.3
2010.958	16.3
2010.985	17.9
2011.012	14.2
2011.039	13.5
2011.066	14.4
2011.093	13.1
2011.121	12.2
2011.148	12.1
2011.175	12.4
2011.202	12.6
2011.229	9.2
2011.256	11.3
2011.284	10.2
2011.311	9.8
2011.338	7.0
2011.365	11.1
2011.392	12.0
2011.419	12.1
2011.447	13.5
2011.474	16.4
2011.501	14.8
2011.528	15.0
2011.555	15.2
2011.582	17.2
2011.610	21.5
2011.637	23.2
2011.664	24.2
2011.691	23.3
2011.718	23.3
2011.745	26.1
2011.773	27.9
2011.800	29.9
2011.827	24.7
2011.854	23.4
2011.881	24.3
2011.908	27.4
2011.936	25.4
2011.963	25.1
2011.990	23.5
2012.017	24.7
2012.044	23.6
2012.071	24.5
2012.098	23.6
2012.125	23.8
2012.153	21.6
2012.180	21.0
2012.207	20.9
2012.234	22.4
2012.261	20.6
2012.288	20.8
2012.315	20.3
2012.342	20.6
2012.369	22.0
2012.396	21.3
2012.423	21.1
2012.451	25.7
2012.478	24.6
2012.505	24.9
2012.532	29.0
2012.559	31.4
2012.586	30.3
2012.613	31.5
2012.640	28.4
2012.667	33.5
2012.694	33.1
2012.721	37.3
2012.748	37.8
2012.776	39.1
2012.803	36.3
2012.830	36.1
2012.857	37.1
2012.884	36.3
2012.911	34.5
2012.938	36.8
2012.965	33.0
2012.992	33.0
2013.019	32.0
2013.047	30.8
2013.074	32.5
2013.101	31.1
2013.128	28.9
2013.155	30.5
2013.182	31.7
2013.210	29.2
2013.232	26.4
2013.269	28.8
2013.291	25.2
2013.318	28.0
2013.345	28.3
2013.373	25.9
2013.400	24.5
2013.427	24.8
2013.454	24.5
2013.481	26.6
2013.508	25.8
2013.536	26.5
2013.563	29.3
2013.590	30.1
2013.617	26.6
2013.644	29.5
2013.668	32.1
2013.705	32.4
2013.726	34.2
2013.753	35.6
2013.780	36.0
2013.807	39.3
2013.834	40.3
2013.862	38.6
2013.889	36.4
2013.916	35.4
2013.943	31.3
2013.970	32.0
2013.997	32.6
2014.025	31.6
2014.052	31.7
2014.079	30.3
2014.106	31.2
2014.133	33.2
2014.160	33.1
2014.188	32.5
2014.215	31.4
2014.242	30.7
2014.269	30.1
2014.296	29.8
2014.323	27.0
2014.351	26.7
2014.378	26.7
2014.405	27.9
2014.432	27.7
2014.459	29.4
2014.486	31.2
2014.514	32.8
2014.541	33.4
2014.568	31.9
2014.595	35.3
2014.622	38.2
2014.649	39.7
2014.677	39.1
2014.704	40.7
2014.731	38.9
2014.758	41.5
2014.785	45.0
2014.812	44.4
2014.840	41.5
2014.867	40.5
2014.894	36.4
2014.921	37.6
2014.948	44.9
2014.976	40.5
2015.003	35.4
2015.030	38.1
2015.057	37.4
2015.084	39.6
2015.111	39.2
2015.138	41.6
2015.166	40.5
2015.193	38.7
2015.220	37.4
2015.247	38.9
2015.274	39.7
2015.301	39.3
2015.329	38.2
2015.356	36.4
2015.383	35.1
2015.410	38.0
2015.437	39.0
2015.464	40.5
2015.492	42.1
2015.519	40.8
2015.546	42.5
2015.573	43.8
2015.600	47.4
2015.627	46.3
2015.655	52.3
2015.682	53.6
2015.709	52.5
2015.736	53.9
2015.763	55.9
2015.790	56.9
2015.818	58.4
2015.845	54.7
2015.872	50.6
2015.899	52.9
2015.926	51.4
2015.953	48.6
2015.981	47.4
2016.008	43.2
2016.035	47.1
2016.062	50.4
2016.089	45.8
2016.116	48.4
2016.122	45.4
2016.143	44.4
2016.170	44.6
2016.195	43.3
2016.224	46.9
2016.252	45.1
2016.279	45.1
2016.306	43.3
2016.333	42.2
2016.360	41.3
2016.387	41.4
2016.414	44.2
2016.441	43.9
2016.468	45.4
2016.495	43.9
2016.522	43.7
2016.550	44.6
2016.577	43.6
2016.604	44.3
2016.631	44.3
2016.658	49.3
2016.685	50.6
2016.712	52.1
2016.739	50.7
2016.766	49.8
2016.793	52.6
2016.821	53.0
2016.848	54.1
2016.875	54.1
2016.902	57.0
2016.928	53.3
2016.956	50.0
2016.983	48.0
2017.010	46.7
2017.037	46.8
2017.065	44.8
2017.092	42.8
2017.119	41.8
2017.146	42.5
2017.173	43.5
2017.200	43.7
2017.227	45.0
2017.255	46.6
2017.282	44.7
2017.309	43.9
2017.336	42.9
2017.363	43.3
2017.390	39.7
2017.418	42.9
2017.445	42.4
2017.472	42.2
2017.499	43.1
2017.526	45.1
2017.554	45.8
2017.581	50.9
2017.608	50.1
2017.635	50.4
2017.662	52.1
2017.689	55.7
2017.717	56.1
2017.744	54.2
2017.771	54.3
2017.798	55.8
2017.825	57.5
2017.852	57.3
2017.879	58.0
2017.907	58.4
2017.934	55.9
2017.961	55.4
2017.988	52.1
2018.014	51.5
